| Time     |   Steer |   Speed | Front   | Left    | Right   |      X |       Y |   Pose |   Axle-Pos |   Current |
|----------|---------|---------|---------|---------|---------|--------|---------|--------|------------|-----------|
| 20:00:42 |    0.68 |       0 | free    | free    | free    |    0   |     0   |     12 |       -187 |       454 |
| 20:00:43 |    0.68 |       0 | free    | free    | free    |    0   |     0   |     12 |       -187 |       422 |
| 20:00:43 |   -0.88 |       0 | free    | free    | blocked |    0   |     0   |     12 |       -187 |       472 |
| 20:00:44 |    0.68 |       0 | free    | free    | free    |    0   |     0   |     11 |       -187 |       472 |
| 20:00:44 |    0.68 |       0 | free    | free    | free    |    0   |     0   |     12 |       -187 |       470 |
| 20:00:45 |    0.68 |       0 | free    | free    | free    |    0   |     0   |     12 |       -187 |       470 |
| 20:00:45 |   -0.88 |       0 | free    | free    | blocked |    0   |     0   |     12 |       -187 |       470 |
| 20:00:46 |    0.68 |       1 | free    | free    | free    |    0   |     0   |     12 |       -187 |       480 |
| 20:00:46 |    0.68 |       1 | free    | free    | free    |    0   |     0   |     12 |       -169 |       480 |
| 20:00:46 |   -0.81 |       1 | free    | free    | blocked |    1.7 |     0.5 |     15 |        -66 |       482 |
| 20:00:47 |   -0.75 |       1 | free    | free    | blocked |    5.6 |     1.8 |     20 |         10 |       482 |
| 20:00:47 |    0.68 |       1 | free    | free    | free    |    9.8 |     3.5 |     22 |         36 |       482 |
| 20:00:48 |    2.23 |       1 | free    | blocked | free    |   14.1 |     4.1 |      9 |         91 |       482 |
| 20:00:48 |    0.68 |       1 | free    | free    | free    |   18.3 |     4.5 |      6 |         33 |       481 |
| 20:00:49 |    0.68 |       1 | free    | free    | free    |   22.9 |     7   |     28 |        -63 |       481 |
| 20:00:49 |   -0.88 |       1 | free    | free    | blocked |   28.3 |     9.1 |     20 |       -199 |       481 |
| 20:00:50 |  500.62 |       1 | blocked | free    | free    |   33.5 |     9.5 |      2 |       -114 |       478 |
| 20:00:50 |  500.62 |       1 | blocked | free    | free    |   37.1 |     9.7 |      4 |       -110 |       478 |
| 20:00:50 |  500.86 |       1 | blocked | blocked | free    |   41   |     9.7 |    358 |       -134 |       483 |
| 20:00:51 |  499.38 |       1 | blocked | free    | free    |   44.7 |     8.7 |    345 |       -152 |       483 |
| 20:00:51 |  499.7  |       1 | blocked | blocked | free    |   48.3 |     7.4 |    339 |       -149 |       481 |
| 20:00:52 |  499.71 |       1 | blocked | blocked | free    |   51.6 |     6.1 |    337 |       -159 |       481 |
| 20:00:52 |  499.72 |       1 | blocked | blocked | free    |   54.7 |     4.2 |    328 |       -173 |       483 |
