| Time     |   steer |   speed |     X |     Y |   Pose |   Axle-Pos |   Current |
|----------|---------|---------|-------|-------|--------|------------|-----------|
| 21:22:12 |       0 |       0 |  -7.2 |  -0.3 |   4.07 |        -12 |       447 |
| 21:22:12 |       0 |       0 |  -7.2 |  -0.3 |   4.07 |        -12 |       436 |
| 21:22:12 |       0 |       0 |  -7.2 |  -0.3 |   4.07 |        -12 |       436 |
| 21:22:13 |      -1 |      -1 |  -7.2 |  -0.3 |   4.07 |        -12 |       436 |
| 21:22:13 |      -1 |      -1 |  -7.2 |  -0.3 |   4.12 |         -5 |       483 |
| 21:22:14 |      -1 |      -1 |  -9.4 |  -0.4 |   3.3  |         -6 |       483 |
| 21:22:14 |      -1 |      -1 | -12.3 |  -0.5 |   2.03 |         31 |       479 |
| 21:22:14 |      -1 |      -1 | -15.3 |  -0.6 |   1.04 |         57 |       479 |
| 21:22:15 |      -1 |      -1 | -18.6 |  -0.6 |   0.11 |         82 |       479 |
| 21:22:15 |      -1 |      -1 | -22.8 |  -0.7 |   0.82 |         96 |       494 |
| 21:22:16 |      -1 |      -1 | -26.5 |  -0.7 |   0.93 |         75 |       494 |
| 21:22:16 |      -1 |      -1 | -29.5 |  -0.8 | 359.5  |         63 |       494 |
| 21:22:16 |      -1 |      -1 | -32.6 |  -0.7 | 358.13 |         48 |       491 |
| 21:22:17 |      -1 |      -1 | -36.9 |  -0.4 | 354.33 |         74 |       491 |
| 21:22:17 |      -1 |      -1 | -38.6 |  -0.3 | 355.38 |         77 |       492 |
| 21:22:17 |      -1 |      -1 | -42.2 |   0   | 355.21 |         89 |       492 |
| 21:22:18 |      -1 |      -1 | -46.2 |   0.4 | 355.76 |         76 |       492 |
| 21:22:18 |      -1 |      -1 | -48.9 |   0.6 | 354.12 |         74 |       491 |
| 21:22:18 |      -1 |      -1 | -53   |   1.1 | 351.2  |         71 |       491 |
| 21:22:19 |      -1 |      -1 | -55   |   1.4 | 351.47 |         78 |       491 |
| 21:22:19 |      -1 |      -1 | -58   |   1.9 | 350.21 |         99 |       497 |
| 21:22:58 |       0 |       1 | -66   |   3.2 | 351.36 |        116 |       433 |
| 21:22:59 |       0 |       1 | -66   |   3.2 | 351.36 |        114 |       433 |
| 21:22:59 |       0 |       1 | -64   |   2.9 | 350.81 |        101 |       448 |
| 21:22:59 |       0 |       1 | -60.1 |   2.3 | 350.92 |         64 |       448 |
| 21:23:00 |       0 |       1 | -56.3 |   1.7 | 351.09 |         60 |       487 |
| 21:23:00 |       0 |       1 | -51.8 |   1   | 351.58 |         60 |       487 |
| 21:23:01 |       0 |       1 | -48.3 |   0.5 | 351.25 |         55 |       487 |
| 21:23:01 |       0 |       1 | -44.6 |  -0.1 | 351.25 |         46 |       484 |
| 21:23:01 |       0 |       1 | -39.6 |  -0.8 | 353.07 |         62 |       484 |
| 21:23:02 |       0 |       1 | -35   |  -1.3 | 354.5  |         57 |     65636 |
| 21:23:02 |       0 |       1 | -31.1 |  -1.7 | 354.61 |         54 |       485 |
